recovered_name	original_obfuscated_name	kind	detail
orchard.internal.lIllIII	q96.x.lIllIII	unidentified	
orchard.internal.lIllIIIl	q96.x.lIllIIIl	unidentified	
orchard.internal.lIllIIlI	q96.x.lIllIIlI	unidentified	
orchard.internal.lIllIIll	q96.x.lIllIIll	unidentified	
orchard.internal.lIllIl	q96.x.lIllIl	unidentified	
orchard.internal.lIllIlI	q96.x.lIllIlI	unidentified	
orchard.internal.lIllIlIl	q96.x.lIllIlIl	unidentified	
orchard.internal.lIlll	q96.x.lIlll	unidentified	
orchard.internal.lIlllIII	q96.x.lIlllIII	unidentified	
orchard.internal.lIlllIIl	q96.x.lIlllIIl	unidentified	
orchard.internal.lIlllIl	q96.x.lIlllIl	unidentified	
orchard.internal.lIlllIlI	q96.x.lIlllIlI	unidentified	
orchard.internal.lIlllIll	q96.x.lIlllIll	unidentified	
orchard.internal.lIllll	q96.x.lIllll	unidentified	
orchard.internal.lIllllI	q96.x.lIllllI	unidentified	
orchard.internal.lIllllII	q96.x.lIllllII	unidentified	
orchard.internal.lIllllIl	q96.x.lIllllIl	unidentified	
orchard.internal.lIlllll	q96.x.lIlllll	unidentified	
orchard.internal.lIlllllI	q96.x.lIlllllI	unidentified	
orchard.internal.lIllllll	q96.x.lIllllll	unidentified	
orchard.internal.ll	q96.x.ll	unidentified	
orchard.internal.llI	q96.x.llI	unidentified	
orchard.internal.llIII	q96.x.llIII	unidentified	
orchard.internal.llIIII	q96.x.llIIII	unidentified	
orchard.internal.llIIIII	q96.x.llIIIII	unidentified	
orchard.internal.llIIIIII	q96.x.llIIIIII	unidentified	
orchard.internal.llIIIIIl	q96.x.llIIIIIl	unidentified	
orchard.internal.llIIIIlI	q96.x.llIIIIlI	unidentified	
orchard.internal.llIIIIll	q96.x.llIIIIll	unidentified	
orchard.internal.llIIIl	q96.x.llIIIl	unidentified	
orchard.internal.llIIIlIl	q96.x.llIIIlIl	unidentified	
orchard.internal.llIIIllI	q96.x.llIIIllI	unidentified	
orchard.internal.llIIIlll	q96.x.llIIIlll	unidentified	
